username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid21,114,26-30,M,1,1,1,7,1,7,5,2,6,3,2,2,2,2,5,3,1,2,2
uid13,119,26-30,M,2,1,1,2,1,4,3,3,1,3,1,2,1,7,5,5,1,2,1
uid24,118,26-30,M,1,2,1,4,1,2,6,6,5,5,1,1,1,4,5,5,2,3,1
uid17,131,21-25,F,1,1,1,6,1,4,5,5,3,2,2,2,1,2,6,3,2,2,2
uid6,127,21-25,M,1,1,1,2,4,4,7,3,5,7,1,2,2,1,7,5,1,1,2
uid3,138,21-25,F,2,2,2,6,2,7,6,6,2,3,2,4,2,6,5,5,2,3,3
uid20,172,21-25,F,1,1,2,4,4,4,6,3,2,3,2,2,2,6,5,3,2,1,2
uid14,164,21-25,M,2,2,1,4,2,7,4,3,2,4,2,2,1,4,5,3,1,2,1
uid12,182,21-25,M,1,1,1,7,4,6,2,2,4,2,2,4,2,4,6,3,2,2,2
uid11,191,21-25,F,1,2,1,6,1,6,6,2,5,6,1,1,1,2,6,6,1,1,1
uid1,195,21-25,M,1,1,2,2,1,7,3,6,2,6,2,2,1,6,6,1,1,1,1
uid2,207,21-25,F,1,1,1,2,1,4,3,6,5,5,2,1,2,6,3,2,5,2,5
uid4,207,21-25,M,1,2,2,6,6,6,6,2,6,3,2,2,2,2,6,2,1,1,1
uid8,212,21-25,M,7,2,2,6,2,2,7,3,2,3,2,2,1,4,3,3,1,1,2
uid10,218,21-25,F,1,1,1,7,1,4,5,1,1,2,2,1,1,6,6,5,2,1,1
uid19,232,21-25,F,1,1,2,7,2,6,6,6,6,3,2,2,2,2,6,4,2,2,2
uid16,228,21-25,F,1,1,2,7,2,4,3,3,3,3,2,2,2,6,6,2,3,6,2
uid9,252,21-25,F,1,1,2,7,4,7,5,6,3,3,2,1,2,6,5,4,2,2,4
uid23,222,under 21,F,2,2,2,6,4,7,5,6,4,6,2,2,2,6,6,6,2,2,3
uid22,271,21-25,F,1,1,1,7,6,6,5,3,6,2,2,6,2,6,5,3,2,2,2
uid5,609,26-30,M,1,1,2,6,1,6,2,2,2,3,1,2,2,2,5,6,6,5,7
uid7,2335,21-25,F,2,1,1,7,4,2,6,2,2,3,2,2,1,4,6,6,2,5,2
